medal_date,medal_type,medal_code,name,gender,country_code,country,country_long,nationality_code,nationality,nationality_long,team,team_gender,discipline,event,event_type,url_event,birth_date,code_athlete,code_team,is_medallist
27-07-2024,Gold Medal,1,EVENEPOEL Remco,Male,BEL,Belgium,Belgium,BEL,Belgium,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,25-01-2000,1903136,,TRUE
27-07-2024,Silver Medal,2,GANNA Filippo,Male,ITA,Italy,Italy,ITA,Italy,Italy,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,25-07-1996,1923520,,TRUE
27-07-2024,Bronze Medal,3,van AERT Wout,Male,BEL,Belgium,Belgium,BEL,Belgium,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,15-09-1994,1903147,,TRUE
27-07-2024,Gold Medal,1,BROWN Grace,Female,AUS,Australia,Australia,AUS,Australia,Australia,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,07-07-1992,1940173,,TRUE
27-07-2024,Silver Medal,2,HENDERSON Anna,Female,GBR,Great Britain,Great Britain,GBR,Great Britain,Great Britain,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,14-11-1998,1912525,,TRUE
27-07-2024,Bronze Medal,3,DYGERT Chloe,Female,USA,United States,United States of America,USA,United States,United States of America,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,01-01-1997,1955079,,TRUE
27-07-2024,Gold Medal,1,OH Sanguk,Male,KOR,Korea,Republic of Korea,KOR,Korea,Republic of Korea,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,30-09-1996,1927149,,TRUE
27-07-2024,Silver Medal,2,FERJANI Fares,Male,TUN,Tunisia,Tunisia,TUN,Tunisia,Tunisia,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,22-07-1997,1937783,,TRUE
27-07-2024,Bronze Medal,3,SAMELE Luigi,Male,ITA,Italy,Italy,ITA,Italy,Italy,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000200--,25-07-1987,1924595,,TRUE
27-07-2024,Gold Medal,1,KONG Man Wai Vivian,Female,HKG,"Hong Kong, China","Hong Kong, China",HKG,"Hong Kong, China","Hong Kong, China",,,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,08-02-1994,1963262,,TRUE
